ts,pair,us_sym,chain_mid,us_price,dev_bps,us_ts,vol24h
2026-08-08T21:30:33+00:00,GOOGLX/USDT,GOOGL,356.37,354.29998779296875,58.4,08-07 00:00,67827
2026-08-08T21:30:33+00:00,QQQX/USDT,QQQ,726.17,723.030029296875,43.4,08-07 00:00,29092
2026-08-08T21:30:33+00:00,AVGOX/USDT,AVGO,429.26,427.760009765625,35.1,08-07 00:00,11834
2026-08-08T21:30:33+00:00,NVDAX/USDT,NVDA,224.7,223.9600067138672,33.3,08-07 00:00,51542
2026-08-08T22:00:40+00:00,MSTRX/USDT,MSTR,101.89,100.01000213623047,188.0,08-07 00:00,67412
2026-08-08T22:00:40+00:00,MCDX/USDT,MCD,278.51,274.4800109863281,146.8,08-07 00:00,10367
2026-08-08T22:00:40+00:00,TSLAX/USDT,TSLA,331.49,328.5799865722656,88.6,08-07 00:00,42931
2026-08-08T22:00:40+00:00,SPYX/USDT,SPY,778.11,773.260009765625,62.7,08-07 00:00,195748
2026-08-08T22:00:40+00:00,GOOGLX/USDT,GOOGL,356.5,354.29998779296875,62.0,08-07 00:00,67797
2026-08-08T22:00:40+00:00,AVGOX/USDT,AVGO,430.29,427.760009765625,59.3,08-07 00:00,11204
2026-08-08T22:00:40+00:00,COINX/USDT,COIN,154.27,153.60000610351562,43.9,08-07 00:00,29837
2026-08-08T22:00:40+00:00,QQQX/USDT,QQQ,725.85,723.030029296875,39.0,08-07 00:00,26410
2026-08-08T22:00:40+00:00,NVDAX/USDT,NVDA,224.72,223.9600067138672,33.7,08-07 00:00,47990
2026-08-08T22:30:45+00:00,MSTRX/USDT,MSTR,101.83,100.01000213623047,182.0,08-07 00:00,30120
2026-08-08T22:30:45+00:00,MCDX/USDT,MCD,278.51,274.4800109863281,146.8,08-07 00:00,8572
2026-08-08T22:30:45+00:00,TSLAX/USDT,TSLA,331.53,328.5799865722656,89.9,08-07 00:00,38807
